oblast,town,name,category,description,address
Сумська область,Суми,Сумська торгово-промислова палата,Торгово-промислові палати,"Сумська торгово-промислова палата - недержавна неприбуткова організація, яка на добровільних засадах об'єднує провідні підприємства Сумської області, сприяє просуванню їх бізнесу, захисту ділових інтересів не тільки на регіональному та республіканському, а й на міжнародному рівні.<br />
На даний момент членами Палати є 222 підприємства різних форм власності.Основна мета Палати - створювати сприятливі умови для вітчизняного підприємництва, представляти і захищати його інтереси на всіх рівнях, включаючи вищі ешелони влади, розвивати прямі зв'язки із зарубіжними партнерами в галузі економіки, науки і торгівлі, шукати інвесторів і допомагати готувати інвестиційні проекти і бізнес-плани .<br />
Основний вид діяльності - видача підприємствам кількох видів сертифікатів походження товарів та проведення цінових експертиз.","м. Суми,  вул. Іллінська, 7а"
Тернопільська область,Тернопіль,Тернопільська торгово-промислова палата,Торгово-промислові палати,"Історія розвитку Тернопільської торгово-промислової палати бере початок з 1954 року, однак палата у сучасному сприйнятті була створена у 1995 році. В умовах незалежності України з’явились нові пріоритети, а відтоді діяльність Тернопільської торгово-промислової палати спрямована на створення сприятливих умов розвитку підприємництва та зовнішньоекономічних зв’язків в області, експорту українських товарів, наданню практичної допомоги підприємцям у проведені торговельно-економічних операцій на внутрішньому та зовнішньому ринках, пошуку ділових партнерів та інвесторів як в регіоні своєї діяльності, так і за її межами.","м. Тернопiль, вул. Руська, 40"
Харківська область,Харків,Харківська торгово-промислова палата,Торгово-промислові палати,"Харківська торгово-промислова палата - недержавна неприбуткова самоврядна організація. Палата об'єднує суб'єктів господарювання різних форм власності та видів діяльності, зареєстрованих в Харківській області. Харківська торгово-промислова палата — громадська організація, діяльність якої спрямована на розвиток економіки держави шляхом: надання консалтингових та прикладних послуг в сфері ЗЕД та внутрішньогосподарської діяльності; проведення навчальних заходів, спрямованих на розвиток ділового середовища; підтримки платформи B2B для спілкування членів Палати.","пр. Московський, 122 Б, м. Харків"
Херсонська область,Херсон,Херсонська торгово-промислова палата,Торгово-промислові палати,"Херсонська Торгово-промислова палата на добровільних засадах об'єднує компанії, підприємства, установи, зацікавлені в розвитку своєї діяльності та налагодженні виробничих і торгівельних зв'язків на внутрішньому й зовнішньому ринках. Правовою основою діяльності ХТПП є Закон України «Про торгово-промислові палати в Україні».<br />
Палата надає всебічну підтримку підприємцям, які прагнуть встановлювати й розвивати взаємовигідні економічні зв'язки з зарубіжжям, освоювати нові форми співробітництва та розширювати межі здійснення підприємницької діяльності.","вул.Гагаріна 34 А, м.Херсон"
Хмельницька область,Хмельницький,Хмельницька торгово-промислова палата,Торгово-промислові палати,"Хмельницька торгово-промислова палата. Торгово-промислова палата України, відповідно до Закону - недержавна неприбуткова самоврядна організація, яка на добровільних засадах об'єднує юридичних осіб і громадян України, зареєстрованих як підприємці, а також їх об'єднання. <br />
Головне завдання Палати:<br />
Насамперед створення сприятливих умов для вітчизняного підприємництва, представлення та захист його інтересів на всіх рівнях, сприяння розвитку прямих зв'язків із зарубіжними партнерами в галузі економіки, науки і торгівлі, пошук інвесторів і кваліфікована підготовка інвестиційних проектів, бізнес-планів та багато іншого. Хмельницька Торгово-промислова палата є важливим елементом інтеграції регіону у світову економіку.","м. Хмельницький, вул. Подільська, 109/1"
Черкаська область,Черкаси,Черкаська торгово-промислова палата,Торгово-промислові палати,"Черкаська торгово-промислова палата є одним із потужних центрів ділової активності та бізнес-комунікацій Черкаської області, учасник багатьох міжнародних стратегічних альянсів. Палата стала ефективним і компетентним діловим партнером багатьох підприємств, організацій, торгово-промислових палат, бізнес-асоціацій, державних установ як в Україні, так і за кордоном. ","вул. Небесної Сотні, 105, м. Черкаси"
Чернігівська область,Чернігів,Чернігівська торгово-промислова палата,Торгово-промислові палати,"Чернігівська регіональна торгово-промислова палата є недержавною самоврядною організацією, яка діє згідно із Законом України про “Торгово-промислові палати в Україні”.  Чернігівська ТПП — найбільша бізнес-асоціація в Чернігівській області. Мета сприяння розвитку підприємництва, зростання та зміцнення конкурентоздатності вітчизняних товаровиробників, підвищення статусу українського бізнесу всередині країни та за її межами. Торгово-промислова палата надає послуги юридичним та фізичним особам з експертиз, митного оформлення вантажів, технічної інвентаризації, сертифікації товарів та інші.","м. Чернігів, вул. Пятницька, 33"
,,COVID-19 Бізнес-клініка в Івано-Франківську,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,COVID-19 Бізнес-клініка в Чернігові ,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,COVID-19 Бізнес-клініка у Вінниці ,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,COVID-19 Бізнес-клініка в Дніпрі,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,COVID-19 Бізнес-клініка в Харкові,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,COVID-19 Бізнес-клініка в Миколаєві,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,COVID-19 Бізнес-клініка у Львові,Центри підтримки підприємництва,"За підтримки ЄС та уряду Німеччини GIZ запуcкає COVID-19 Бізнес-клініки, щоб допомогти українським малим і середнім підприємствам (МСП) відреагувати на напружені економічні умови, викликані пандемією COVID-19. Бізнес-клініки працюють на базі Центрів інформаційної підтримки бізнесу (ЦІПБ), створених в рамках EU4Business, і надають підприємцям ряд переважно безплатних онлайн-послуг, таких як:Короткі індивідуальні та групові консультації; вебінари, тренінги та форуми; ваучери на глибинні бізнес-консультації.",
,,"Бізнес-інкубатор на базі Державного навчального закладу ""Багатопрофільний центр професійно-технічної освіти""","Коворкінги, інкубатори, акселератори",,"м. Токмак, вул. Володимирська, 4-а"
,,"ГО ""Волонтерське об'єднання ""Вірю в Україну""",Об'єднання підприємців,"Підвищення правової обізнаності та навичок правового самозахисту громадян; посилення конкурентоспроможності українських мікро-, малих та середніх підприємств шляхом навчання, консультацій та допомоги пошуку інвестицій. Формування ефективного партнерства громади, місцевої влади, громадських організацій та бізнесу; сприяння розвитку людського потенціалу територіальної громади; створення умов для всебічного розвитку бізнесу, особливо молодими людьми та незахищеними категоріями.","Слов’янський район, м. Миколаївка, вул. Михайла Петренка, 7, 2 поверх"
,,"Громадська спілка підприємців ""Органічні системи""",Об'єднання підприємців,Захист прав та інтересів підприємців.,"смт Короп, вул. Київська, 78"
,,Інформаційний пункт підприємця Запоріжжя,Центри підтримки підприємництва,,
,,Інформаційний пункт підприємця Мелітополь,Центри підтримки підприємництва,"Вирішення проблеми низької доступності об’єктів інфраструктури та інформації, необхідної для забезпечення розвитку суб’єктів малого і середнього підприємництва, зокрема суб’єктів мікропідприємництва, а також осіб, які планують започаткувати власну справу. Надання інформаційної та консультаційної підтримки СПД, залученням державних та недержавних організацій, які спеціалізуються на окремих питаннях здійснення підприємницької діяльності.","м. Мелітополь, вул. Чернишевського, 26"
,,Координаційна рада з питань розвитку підприємництва м.Лубни,Об'єднання підприємців,"До складу ради на паритетних засадах входять представники громадських організацій, керівники спілок підприємців та представники місцевого органу виконавчої влади. Склад Координаційної ради становить 11 осіб. Основною формою роботи ради є засідання.","м. Лубни, вул. Ярослава Мудрого, 33"
,,Координаційна рада з питань розвитку підприємництва м.Первомайськ,Об'єднання підприємців,Постійно діючий консультативно-дорадчий орган.,"м. Первомайськ, вул. Михайла Грушевського, 3"
Миколаївська область,Миколаїв,Асоціація “Правозахист”,Консультаційні та освітні центри,"«Асоціація юристів «ПРАВОЗАХИСТ» - громадська організація, створена з метою захисту прав та законних інтересів підприємництва та громадян в економічній, правовій, соціальній та інших сферах їх діяльності, представництво інтересів членів Асоціації на національному, галузевому та місцевому рівнях, об’єднання зусиль для захисту інтересів і лобіювання законопроектів.","м. Миколаїв, вул. Московська, 69, офіс 18"
,,Всеукраїнська асоціація пекарів,Об'єднання підприємців,"Всеукраїнська асоціація пекарів – діючий асоціативний орган, створений для координації спільних дій у напрямку посилення ринкових позицій підприємств-членів Асоціації, активного захисту і лобіювання їх інтересів на всеукраїнському та регіональних рівнях. З часу заснування Всеукраїнська асоціація пекарів веде активну діяльність щодо захисту інтересів не лише підприємств-членів ВАП, але й усієї хлібопекарної галузі.","м. Київ, вул. Євгена Коновальца, буд. 31, офіс 514"
,,Спілка орендарів і підприємців України,Об'єднання підприємців,,"м. Київ, вул. Григорія Сковороди, 5-А"
,,Всеукраїнська громадська організація «Українська Федерація Індустрії Безпеки»,Об'єднання підприємців,Основною метою Федерації є сприяння суттєвому зростанню ємності українського ринку технічних засобів охорони. ,"м. Київ, проспект Перемоги, 123, офіс 511"
,,ГС “Національна організація роздрібної торгівлі”,Об'єднання підприємців,"Місія та цілі: <br />
Захист законних прав та інтересів представників роздрібної торгівлі.<br />
Побудова відкритого, конструктивного та ефективного діалогу між представниками малого бізнесу та органами державної влади.<br />
Участь у формуванні державної політики у сфері підприємництва та сприяння розвитку малого бізнесу.","м. Київ, вул. Хрещатик, 7/11"
,,Громадська організація “Інститут податкових реформ”,Об'єднання підприємців,"Інститут податкових реформ об’єднує провідних фахівців і науковців, представників бізнес-середовища та органів державної влади з метою розробки стратегії реформування податкової політики задля забезпечення сталого суспільно-економічного розвитку в Україні.","м. Київ, вул. Коновальця, 36-Д, оф. 45і"
,,"ВГО ""Реміснича палата України""",Об'єднання підприємців,"Реміснича палата України (РПУ) – всеукраїнська неурядова організація, яка з 2009 року працює на національному та міжнародному рівнях для захисту прав та представництва інтересів мікро, малих та середніх підприємств (ММСП) в сфері виробництва та сервісу.<br />
РПУ об’єднує ММСП, індивідуальні та дрібні промисли, ремісничі майстерні, національні крафтові виробництва у всій країні.","24, Вацлава Гавела бул., Київ"
,,Український культурний фонд,"Коворкінги, інкубатори, акселератори","Український культурний фонд ‒ державна установа, створена у 2017 році, на підставі відповідного Закону України, з метою сприяння розвитку національної культури та мистецтва в державі, забезпечення сприятливих умов для розвитку інтелектуального та духовного потенціалу особистості і суспільства, широкого доступу громадян до національного культурного надбання, підтримки культурного розмаїття та інтеграції української культури у світовий культурний простір. ","Київ, вул. Лаврська 10-12"
,,Спілка Професіоналів України в індустрії краси (СПУ),Об'єднання підприємців,"Спілка Професіоналів України в індустрії краси (СПУ) - громадська організація, яка об'єднує перукарів, візажистів, майстрів нігтьової естетики, бровістів і інших фахівців індустрії краси з усієї країни.<br />
<br />
Основні завдання організації - підвищення престижності професій індустрії краси, поліпшення якості послуг, що надаються в салонах краси, підвищення кваліфікації майстрів та стандартизація освітніх послуг в індустрії, розвиток і популяризація конкурсного руху на національному та міжнародному рівні.","Київ, вул. Княжий Затон 9, офіс 391"
,,Сумська міська громадська молодіжна організація «Молодь та підприємництво»,Об'єднання підприємців,,"м.Суми, вул.Кооперативна 19"
,,ГС “Всеукраїнська Асоціація Гідів”,Об'єднання підприємців,"Головною метою ВАГ є об'єднання гідів на засадах створення сприятливих умов для розвитку національного туристичного ринку шляхом розробки та просування якісного екскурсійного продукту, підвищення рівня професійної майстерності гідів, конкретизації їх ролі й місця в просвітницькому та виховному процесі, підвищенню авторитету професії.",
,,Громадська організація «Взаємодія Плюс»,Об'єднання підприємців,"Неурядова неприбуткова громадська організація, що об'єднує фізичних <br />
осіб–підприємців. Місія — об'єднання підприємців, керівників, професіоналів, спеціалістів для захисту прав і свобод учасників, сприяння розвитку ділових ініціатив та підприємництва, освіти, науки та навчання, самореалізації членів, посилення їх ролі та впливу на економічне й соціальне життя суспільства, розвиток правової свідомості, економічної та правової культури, запобігання будь-яких проявів дискримінації за ознаками статі чи віку. ","м. Київ,  вул. Велика Житомирська 33, офіс 516"
,,"Громадська спілка ""Зихідноукраїнський кластер індустрії моди""",Кластери,"Західноукраїнський Кластер Індустрії Моди – це громадська спілка, об’єднання однодумців: дизайнерів, підприємців та освітян, засноване у 2018 році. Кластер увійшов до складу Львівського Промислового Хабу, ставши одним із перших регіональних об’єднань місцевих підприємців.","79018, м.Львів, вул.Тобілевича, 8"
,,Громадська спілка Асоціація кінокомісій України,Кластери,,"01033, м.Київ, Голосіївський район, ВУЛИЦЯ САКСАГАНСЬКОГО, будинок 6"
,,"Асоціація ""Львівський промисловий хаб""",Кластери,"Хаб покликаний скоординувати і підвищити взаємодію між промисловістю, закладами професійно-технічної освіти і науковими установами. В межах цього хабу будуть створені промислові кластери, відбуватиметься об’єднання промислових підприємств, переформатування підходів до професійно-технічної освіти у відповідних закладах на засадах дуальної освіти.","Львів, вул. Винниченка, 18"
,,Кластерна ініціатива “Дністер 1362”,Кластери,,
,,Прикарпатський еко-енергетичний кластер,Кластери,"ПРИКАРПАТСЬКИЙ ЕКО-ЕНЕРГЕТИЧНИЙ КЛАСТЕР створений з метою підвищення ефективності використання всіх видів енергії та зменшення негативного впливу на довкілля в Івано-Франківській області шляхом покращення співпраці бізнесу, науки і громадського сектору.<br />
<br />
МІСІЯ КЛАСТЕРУ – пропагування енергоощадності та розвитку відновлювальної енергетики, сприяння впровадження енергоефективних рішень та стартапів, щоб допомогти перетворити Прикарпаття в «осередок зелених інновацій».",
,,ГО АСОЦІАЦІЯ БУКОВИНСЬКИЙ БДЖОЛЯР,Кластери,"Усвідомлюючи потребу у співпраці, у квітні 2015 року, більше 100 пасічників Чернівецької області прийняли рішення про створення самостійної громадської організації та обрали її керівництво. 19 листопада 2015 року було офіційно зареєстровано громадську організацію «Асоціація виробників продукції бджільництва «Буковинський БДЖОЛЯР» та її Статут.<br />
18 грудня 2015 року громадська організація стала представляти інтереси пасічників Чернівецької області у всеукраїнській ГО «Спілка пасічників України».","вул.Вірменська, 34 | м.Чернівці, 58000"
,,Морський Кластер України,,"Морський Кластер України це ланка, що пов’язує весь морський сектор з іншими гравцями індустрії, глобальними та  національними регуляторними органами, розробниками політик та морськими організаціями.",
,,"ГО ""Харківський кластер легкої промисловості та дизайну""",,"Харківський кластер легкої промисловості та дизайну - це некомерційна організація, яка сприяє просуванню та конкурентоспроможності представників легкої промисловості, модною індустрії та дизайну Харківщини. Ми об’єдналися для розробки та реалізації перспективних проектів для всієї галузі.",
,,Миргородський Центр Кераміки,Кластери,,
,,"ГРОМАДСЬКА СПІЛКА ""УКРАЇНСЬКА АСОЦІАЦІЯ МЕДИЧНОГО ТУРИЗМУ""",Кластери,"УКРАЇНСЬКА АСОЦІАЦІЯ МЕДИЧНОГО ТУРИЗМУ (УАМТ) Є НЕКОМЕРЦІЙНОЮ ОРГАНІЗАЦІЄЮ, ДІЯЛЬНІСТЬ ЯКОЇ СПРЯМОВАНА НА:<br />
1/ підвищення рівня медичної допомоги; 2/ надання пацієнтам зі складними / рідкісними захворюваннями можливості якісної діагностики та лікування; 3/ забезпечення безпеки пацієнтів; 4/розвиток медичного туризму як одного з найбільш перспективних напрямків охорони здоров'я України.","м. Київ  вул. Микільсько-Слобідська, 1а, оф. 76"
,,Рівненський міжрегіональний медичний кластер,Кластери,,
,,ГРОМАДСЬКА СПІЛКА ЛЬВІВСЬКИЙ КЛАСТЕР МЕДИЧНОГО ТУРИЗМУ,Кластери,,
,,ГРОМАДСЬКА ОРГАНІЗАЦІЯ ЛЬВІВСЬКИЙ КЛАСТЕР ОСВІТИ ТА КРЕАТИВНОСТІ,Кластери,,
,,Харківський кластер Інжиніринг – Автоматизація – Машинобудування (IAM),Кластери,"Платформа для компаній Харківської області, що працюють у секторах Інжиніринг, Автоматизація та Машинобудування для обміну найкращими практиками та створення консолідованої позиції індустрії","м. Харків, вул. Малом'ясницька, 9/11"
,,"ГРОМАДСЬКА СПІЛКА ""ЗАПОРІЗЬКИЙ КЛАСТЕР ""ІНЖИНІРИНГ-АВТОМАТИЗАЦІЯ-МАШИНОБУДУВАННЯ""",Кластери,"Місія кластеру: <br />
Зростання економічного потенціалу Запорізької області через підвищення конкурентоспроможності учасників кластеру та розвитку регіональної інноваційної екосистеми промислових високотехнологічних секторів. В основі кластеру ІАМ – співпраця широкого кола гравців в наступних економічних секторах: Інжиніринг, Автоматизація, Машинобудування.","бул. Центральний, 4  м. Запоріжжя"
,,Закарпатська автокластерна ініціатива,Кластери,,
Волинська область,Луцьк,"ТОВ ""Консалтинг Центр""",Консультаційні та освітні центри,"Консалтинг Центр - центр бухгалтерії та фінансів. Працює в сфері бухгалтерського обслуговування МСБ, консультування з питань оподаткування та управління фінансами.","м. Луцьк, вул. Коперника, 8А, 3 пов., офіс 10"
Хмельницька область,Хмельницький,ГО «Агенція сталого розвитку «АСТАР»,Агенції регіонального та місцевого розвитку,"Громадська організація “Агенція сталого розвитку “АСТАР” офіційно була зареєстрована 21 березня 2017 року.<br />
Ідея створення організації ґрунтувалась на необхідності підтримки ініціатив, спрямованих на зміцнення сталого розвитку Подільсько-Буковинського регіону, встановлення партнерських відносин між організаціями громадянського суспільства як в Україні, так і за її межами.<br />
","м. Хмельницький, вул. Героїв Майдану, 38"
Запорізька область,Запоріжжя,"Державна організація ""Регіональний фонд підтримки підприємництва в Запорізькій області""",Фонди підтримки підприємництва,"Регіональний фонд підтримки підприємництва в Запорізькій області створений та діє відповідно до Закону України  «Про розвиток та державну підтримку малого і середнього підприємництва» від 22 березня 2012 року № 4618-VI. Активну діяльність Фонд почав із січня 2001р.  Фонд здійснює свою діяльність за рахунок об’єднання фінансових, матеріальних, нематеріальних та інших ресурсів, спрямованих на підтримку та розвиток підприємництва.","м. Запоріжжя, вул. Незалежної України, 90, оф.27"
Запорізька область,Запоріжжя,"ГО  ""Центр розвитку соціального бізнесу ""Ініціатива""",Консультаційні та освітні центри,"ГО ""Центр розвитку соціального бізнесу ""Ініціатива"" - неприбуткова організація.<br />
Сфери діяльності:<br />
- Просування гендерної рівності в питаннях розвитку підприємницької діяльності та соціальної адаптації. <br />
- Залучення маломобільних людей до бізнес-середовища.<br />
- Руйнування стереотипів про малий та середній бізнес.<br />
- Підвищення потенціалу, посилення та розвиток МСП у Запорізькій області.<br />
- Створення можливостей для жіночого МСП.<br />
- Інформаційна підтримка підприємців-початківців.","м. Запоріжжя, вул. Незалежної України, 90, офіс 27"
Миколаївська область,Миколаїв,"ТОВ ""Центр підтримки бізнесу""",Консультаційні та освітні центри,"Центр підтримки бізнесу – незалежна організація, що успішно працює у галузі підтримки підприємництва, інвестицій та регіонального економічного розвитку, починаючи з 1998 року. Пріоритетними напрямками діяльності Центру є інформаційна підтримка, консалтинговий супровід та посилення професійних компетенцій як управлінців, так і профільних фахівців окремих напрямків бізнесу.","м. Миколаїв, вул. Потьомкінська, 51/1"
Запорізька область,Запоріжжя,"ГО ""Бізнес-інкубатор ""БІ-Запоріжжя""","Коворкінги, інкубатори, акселератори","Забезпечення сприятливих умов для розвитку малого і середнього бізнесу, підвищення конкурентоздатності підприємств і компаній шляхом надання допомоги підприємцям на всіх стадіях організації і функціонування підприємств, сприяння формуванню і розвитку інфраструктури підтримки малого і середнього бізнесу. Створення інвестиційного клімату: навчально-методологічна, психологічна допомога; сприяння розробці та реалізації стратегії регіонального розвитку; залучення нових інвестицій у регіон.","м. Запоріжжя, вул. Незалежної України, 71 /60"
Київська область,,"ГО ""ПР Консалтинг""",Консультаційні та освітні центри,"P&R Consulting - компанія, очолювана жінками, яка розробляє комплексні консалтингові рішення для малого та середнього бізнесу. Окремий фокус діяльності - розвиток жіночого підприємництва в Україні та формування жіночої ділової спільноти. Місією P&R Consulting: сприяння розвитку інфраструктури підтримки жіночого підприємництва, покращення інвестиційного середовища, бізнес-клімату та інноваційного потенціалу України.","м. Київ, вул. Антоновича, 74"
Харківська область,Харків,Харківський регіональний фонд підтримки підприємництва,Фонди підтримки підприємництва,"Метою діяльності Фонду є створення сприятливих умов для розвитку малого та середнього бізнесу в Харківській області:<br />
- надання фінансово-кредитної підтримки;<br />
- безкоштовні консультації для підприємців;<br />
-  проведення освітнього курсу ""Школа малого бізнесу"".<br />
Також ХРФПП є членом Партнерської платформи Програми Fit for Partnersip with Germany: консультації, прийом заявок на участь.","м. Харків, площа Свободи 5, Держпром, 1 під'їзд, 5 поверх"
